Date,PM10,SO2,CO,O3,NO2,Max,Critical Component,Category
11/21/2020,20,0,21,31,0,31,O3,Good
11/22/2020,14,0,22,27,0,27,O3,Good
11/23/2020,14,0,20,25,0,25,O3,Good
11/24/2020,11,0,20,28,0,28,O3,Good
11/25/2020,12,0,19,34,0,34,O3,Good
11/26/2020,20,6,36,37,0,37,O3,Good
11/27/2020,12,1,20,29,0,29,O3,Good
11/28/2020,19,0,20,28,0,28,O3,Good
11/29/2020,6,0,19,26,0,26,O3,Good
11/30/2020,8,0,21,28,0,28,O3,Good
12/1/2020,18,0,23,26,0,26,O3,Good
12/2/2020,11,0,22,31,0,31,O3,Good
12/3/2020,17,0,24,38,0,38,O3,Good
12/4/2020,13,0,22,44,0,44,O3,Good
12/5/2020,22,0,27,0,0,27,CO,Good
12/6/2020,22,0,27,0,0,27,CO,Good
12/7/2020,22,0,27,0,0,27,CO,Good
12/8/2020,22,0,27,0,0,27,CO,Good
12/9/2020,22,0,27,0,0,27,CO,Good
12/10/2020,22,0,27,0,0,27,CO,Good
12/11/2020,21,0,28,74,0,74,O3,Moderate
12/12/2020,9,0,19,55,0,55,O3,Moderate
12/13/2020,10,1,19,63,0,63,O3,Moderate
12/14/2020,8,0,19,59,0,59,O3,Moderate
12/15/2020,13,2,22,51,0,51,O3,Moderate
12/16/2020,11,0,18,61,0,61,O3,Moderate
12/17/2020,8,0,16,61,0,61,O3,Moderate
12/18/2020,7,0,19,74,0,74,O3,Moderate
12/19/2020,8,1,19,68,0,68,O3,Moderate
12/20/2020,8,0,16,78,0,78,O3,Moderate
12/21/2020,14,1,16,71,0,71,O3,Moderate
12/22/2020,26,0,16,81,0,81,O3,Moderate
12/23/2020,17,0,16,16,0,17,PM10,Good
12/24/2020,22,4,20,13,0,22,PM10,Good
12/25/2020,18,2,16,5,0,18,PM10,Good
12/26/2020,15,2,18,1,0,18,CO,Good
12/27/2020,12,1,24,0,0,24,CO,Good
12/28/2020,9,0,16,2,0,16,CO,Good
12/29/2020,9,0,15,20,0,20,O3,Good
12/30/2020,6,0,17,10,0,17,CO,Good
12/31/2020,5,0,17,20,0,20,O3,Good
